,register,genre,support,topic_names,coverage
23,NA,Engineering&Transportation,17251,"['0_the_it_to_and', '1_mining_gold_mine_of', '2_water_the_that_to', '3_radio_audio_to_and', '4_safety_vehicles_drivers_vehicle']",0.12700713002144803
24,NA,Literature&Fiction,20000,"['0_the_in_to_and', '1_music_the_album_and', '2_game_the_team_in', '3_art_of_painting_exhibition', '4_1865_cemetery_died_in']",0.2107
25,NA,Medicine&HealthSciences,5983,"['0_care_and_the_hospital', '1_company_of_the_and', '2_breast_cancer_my_you', '3_the_of_opioid_to', '4_my_was_me_baby']",0.21995654354003008
26,NA,Politics&SocialSciences,20000,"['0_the_of_and_to', '1_the_to_and_in', '2_the_to_and_in', '3_the_and_to_in', '4_the_in_to_of']",0.9666
27,OP,Engineering&Transportation,5652,"['0_to_of_the_and', '1_my_was_car_service', '2_camera_lens_cameras_nikon', '3_car_you_cars_your', '4_gun_the_and_is']",0.2024062278839349
28,OP,Literature&Fiction,20000,"['0_album_the_music_and', '1_hotel_very_stay_room', '2_her_book_she_and', '3_game_games_the_you', '4_dress_you_for_and']",0.34415
29,OP,Medicine&HealthSciences,2697,"['0_skin_and_the_it', '1_pregnancy_and_the_to', '2_sleep_you_apnea_your', '3_and_the_to_of', '4_was_and_the_to']",0.26918798665183535
30,OP,Politics&SocialSciences,20000,"['0_trump_the_president_of', '1_hotel_travel_you_your', '2_church_our_in_the', '3_students_school_learning_teachers', '4_money_financial_retirement_your']",0.12285
31,SP,Literature&Fiction,2060,"['0_the_and_to_of', '1_the_of_and_to', '2_the_of_and_to', '3_the_to_and_in', '4_the_and_to_of']",0.5762135922330097
32,SP,Politics&SocialSciences,1370,"['0_and_to_you_the', '1_the_of_to_and', '2_the_of_to_that', '3_the_and_to_of', '4_and_to_the_of']",0.4291970802919708
